,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,13297,XRPUSDT,0.0,-0.40000103400000003,999.599998966,5752.1,0.3477,5752.1,0.3477,entry_initial_normal_long
1,13328,XRPUSDT,10.052359999999991,-0.03919351000000001,1009.613165456,-534.7,0.3665,5217.4,0.3477,close_trailing_long
2,13334,XRPUSDT,13.498780000000005,-0.040098368,1023.071847088,-537.8,0.3728,4679.6,0.3477,close_trailing_long
3,13341,XRPUSDT,9.808200000000008,-0.03985398600000001,1032.840193102,-544.9,0.3657,4134.7,0.3477,close_trailing_long
4,13373,XRPUSDT,14.962720000000001,-0.041246498000000006,1047.761666604,-550.1,0.3749,3584.6,0.3477,close_trailing_long
5,13382,XRPUSDT,11.831719999999999,-0.041176618000000005,1059.552209986,-558.1,0.3689,3026.5,0.3477,close_trailing_long
6,13394,XRPUSDT,9.141659999999995,-0.041069754,1068.652800232,-564.3,0.3639,2462.2,0.3477,close_trailing_long
7,13422,XRPUSDT,10.53020000000001,-0.04168820800000001,1079.141312024,-569.2,0.3662,1893.0,0.3477,close_trailing_long
8,13474,XRPUSDT,9.196800000000007,-0.041810952,1088.296301072,-574.8,0.3637,1318.2,0.3477,close_trailing_long
9,13612,XRPUSDT,0.0,-0.3536428960000001,1087.942658176,5707.6,0.3098,7025.8,0.31691090267300526,entry_initial_partial_long
10,13704,XRPUSDT,18.52880583335702,-0.054132624000000004,1106.4173313853569,-795.6,0.3402,6230.2,0.31691090267300526,close_trailing_long
11,13716,XRPUSDT,11.243790331634791,-0.043231676000000004,1117.6178900409916,-646.6,0.3343,5583.6,0.31691090267300526,close_trailing_long
12,13726,XRPUSDT,17.69188946426025,-0.04493328,1135.2648462252519,-653.1,0.344,4930.5,0.31691090267300526,close_trailing_long
13,13741,XRPUSDT,26.661447166728294,-0.047380028,1161.8789133639802,-663.4,0.3571,4267.1,0.31691090267300526,close_trailing_long
14,13748,XRPUSDT,21.448997085029415,-0.0473263,1183.2805841490097,-679.0,0.3485,3588.1,0.31691090267300526,close_trailing_long
15,13763,XRPUSDT,33.32276080161685,-0.05049333,1216.5528516206266,-691.5,0.3651,2896.6,0.31691090267300526,close_trailing_long
16,13772,XRPUSDT,25.584649289760556,-0.050175322,1242.087325588387,-710.9,0.3529,2185.7,0.31691090267300526,close_trailing_long
17,13780,XRPUSDT,23.653166839932766,-0.050733419999999994,1265.68975900832,-725.8,0.3495,1459.9,0.31691090267300526,close_trailing_long
18,13789,XRPUSDT,23.51121638304532,-0.051579704000000004,1289.1493956873653,-739.6,0.3487,720.3,0.31691090267300526,close_trailing_long
19,13792,XRPUSDT,18.575886804634315,-0.049369362,1307.6759131299996,-720.3,0.3427,0.0,0.31691090267300526,close_trailing_long
20,14210,XRPUSDT,0.0,-0.52307046,1307.1528426699995,9751.5,0.2682,9751.5,0.2682,entry_initial_normal_long
21,14502,XRPUSDT,16.498299999999993,-0.05192432,1323.5992183499995,-906.5,0.2864,8845.0,0.2682,close_trailing_long
22,14506,XRPUSDT,20.197190000000006,-0.053061034,1343.7433473159995,-913.9,0.2903,7931.1,0.2682,close_trailing_long
23,14513,XRPUSDT,18.370439999999984,-0.05344128,1362.0603460359994,-927.8,0.288,7003.3,0.2682,close_trailing_long
24,14519,XRPUSDT,28.873350000000006,-0.05622309,1390.8774729459994,-940.5,0.2989,6062.8,0.2682,close_trailing_long
25,14522,XRPUSDT,27.27535999999998,-0.056970928,1418.0958620179995,-960.4,0.2966,5102.4,0.2682,close_trailing_long
26,14526,XRPUSDT,22.52160000000002,-0.05702860800000001,1440.5604334099994,-979.2,0.2912,4123.2,0.2682,close_trailing_long
27,14536,XRPUSDT,23.57439,-0.05807058600000001,1464.0767528239994,-994.7,0.2919,3128.5,0.2682,close_trailing_long
28,14540,XRPUSDT,16.073310000000024,-0.057439338,1480.0926234859994,-1010.9,0.2841,2117.6,0.2682,close_trailing_long
29,14549,XRPUSDT,14.716800000000024,-0.057763440000000006,1494.7516600459994,-1022.0,0.2826,1095.6,0.2682,close_trailing_long
30,14556,XRPUSDT,11.456309999999998,-0.057653105999999996,1506.1503169399994,-1032.1,0.2793,63.5,0.2682,close_trailing_long
31,14562,XRPUSDT,0.7556500000000014,-0.003557270000000001,1506.9024096699993,-63.5,0.2801,0.0,0.2682,close_trailing_long
32,16853,XRPUSDT,0.0,-0.60276256,1506.2996471099993,10181.8,0.296,10181.8,0.296,entry_initial_normal_long
33,16857,XRPUSDT,12.115200000000032,-0.05845584,1518.3563912699994,-946.5,0.3088,9235.3,0.296,close_trailing_long
34,16918,XRPUSDT,11.018839999999999,-0.058437848,1529.3167934219994,-949.9,0.3076,8285.4,0.296,close_trailing_long
35,16933,XRPUSDT,19.231680000000004,-0.060488896,1548.4879845259993,-956.8,0.3161,7328.6,0.296,close_trailing_long
36,16937,XRPUSDT,11.916240000000032,-0.059736208,1560.3444883179993,-968.8,0.3083,6359.8,0.296,close_trailing_long
37,16951,XRPUSDT,15.033480000000026,-0.06079773600000001,1575.3171705819993,-976.2,0.3114,5383.6,0.296,close_trailing_long
38,16966,XRPUSDT,15.375360000000002,-0.061422592,1590.6311079899992,-985.6,0.3116,4398.0,0.296,close_trailing_long
39,16976,XRPUSDT,16.022720000000003,-0.06212038400000001,1606.5917076059993,-995.2,0.3121,3402.8,0.296,close_trailing_long
40,16984,XRPUSDT,11.960690000000023,-0.06189405800000001,1618.4905035479994,-1005.1,0.3079,2397.7,0.296,close_trailing_long
41,17008,XRPUSDT,17.112940000000027,-0.06336850800000002,1635.5400750399995,-1012.6,0.3129,1385.1,0.296,close_trailing_long
42,17026,XRPUSDT,37.65744,-0.068110848,1673.1294041919994,-1023.3,0.3328,361.8,0.296,close_trailing_long
43,17029,XRPUSDT,15.376500000000014,-0.024493860000000006,1688.4814103319993,-361.8,0.3385,0.0,0.296,close_trailing_long
44,21527,XRPUSDT,0.0,-0.675391002,1687.8060193299993,14351.7,0.2353,14351.7,0.2353,entry_initial_normal_long
45,21534,XRPUSDT,19.07619999999997,-0.06659327999999999,1706.8156260499993,-1334.0,0.2496,13017.7,0.2353,close_trailing_long
46,21538,XRPUSDT,14.104649999999975,-0.066036628,1720.8542394219992,-1343.3,0.2458,11674.4,0.2353,close_trailing_long
47,21544,XRPUSDT,24.64825999999999,-0.06866301,1745.4338364119992,-1354.3,0.2535,10320.1,0.2353,close_trailing_long
48,21547,XRPUSDT,18.95705999999997,-0.068437734,1764.3224586779993,-1373.7,0.2491,8946.4,0.2353,close_trailing_long
49,21556,XRPUSDT,14.16371999999998,-0.06818026,1778.4179984179993,-1388.6,0.2455,7557.8,0.2353,close_trailing_long
50,21596,XRPUSDT,14.975719999999981,-0.06886031999999999,1793.3248580979994,-1399.6,0.246,6158.2,0.2353,close_trailing_long
51,21602,XRPUSDT,13.831720000000006,-0.069186828,1807.0873912699994,-1411.4,0.2451,4746.8,0.2353,close_trailing_long
52,21659,XRPUSDT,0.0,-0.512264844,1806.5751264259995,11547.9,0.2218,16294.7,0.22573267749636383,entry_initial_partial_long
53,21743,XRPUSDT,24.196627760437476,-0.08476675200000001,1830.686987434437,-1770.4,0.2394,14524.3,0.22573267749636383,close_trailing_long
54,21751,XRPUSDT,18.122704935960815,-0.071425608,1848.7382667623979,-1501.8,0.2378,13022.5,0.22573267749636383,close_trailing_long
55,21777,XRPUSDT,14.207418041264983,-0.071315234,1862.8743695696628,-1516.7,0.2351,11505.8,0.22573267749636383,close_trailing_long
56,22673,XRPUSDT,20.58210898230715,-0.073113872,1883.3833646799699,-1528.3,0.2392,9977.5,0.22573267749636383,close_trailing_long
57,22677,XRPUSDT,13.700900000368248,-0.072496092,1897.011768588338,-1545.1,0.2346,8432.4,0.22573267749636383,close_trailing_long
58,22711,XRPUSDT,26.406244012408965,-0.07554280199999999,1923.342469798747,-1556.3,0.2427,6876.1,0.22573267749636383,close_trailing_long
59,22715,XRPUSDT,19.51439817848752,-0.075139598,1942.7817283792347,-1577.9,0.2381,5298.2,0.22573267749636383,close_trailing_long
60,22727,XRPUSDT,14.13273860629533,-0.074781096,1956.83968588953,-1593.8,0.2346,3704.4,0.22573267749636383,close_trailing_long
61,22741,XRPUSDT,16.161072815087156,-0.07570594800000001,1972.9250527566173,-1605.3,0.2358,2099.1,0.22573267749636383,close_trailing_long
62,22745,XRPUSDT,25.357561472135146,-0.07814118,1998.2044730487526,-1618.5,0.2414,480.6,0.22573267749636383,close_trailing_long
63,22754,XRPUSDT,10.653615195247548,-0.023828148000000004,2008.8342600960002,-480.6,0.2479,0.0,0.22573267749636383,close_trailing_long
64,30004,DOGEUSDT,0.0,-0.8035335,2008.0307265960002,425150.0,0.00945,425150.0,0.00945,entry_initial_normal_long
65,30016,DOGEUSDT,36.75267000000001,-0.082041444,2044.7013551520004,-39519.0,0.01038,385631.0,0.00945,close_trailing_long
66,30021,DOGEUSDT,35.460180000000015,-0.082820556,2080.0787145960003,-40068.0,0.010335,345563.0,0.00945,close_trailing_long
67,30032,DOGEUSDT,49.646898000000014,-0.0869676696,2129.6386449264005,-40761.0,0.010668,304802.0,0.00945,close_trailing_long
68,30041,DOGEUSDT,52.331928,-0.0893398656,2181.8812330608007,-41732.0,0.010704,263070.0,0.00945,close_trailing_long
69,30046,DOGEUSDT,47.28813599999997,-0.0902664672,2229.0791025936005,-42756.0,0.010556,220314.0,0.00945,close_trailing_long
70,30066,DOGEUSDT,60.32346100000001,-0.09462178220000002,2289.3079418114007,-43681.0,0.010831,176633.0,0.00945,close_trailing_long
71,30071,DOGEUSDT,53.96778299999996,-0.0955808466,2343.1801439648007,-44861.0,0.010653,131772.0,0.00945,close_trailing_long
72,30074,DOGEUSDT,42.15180600000002,-0.09521349120000001,2385.2367364736006,-45917.0,0.010368,85855.0,0.00945,close_trailing_long
73,30106,DOGEUSDT,51.321618,-0.09860481360000001,2436.4597496600004,-46741.0,0.010548,39114.0,0.00945,close_trailing_long
74,30114,DOGEUSDT,36.37602000000001,-0.081200664,2472.754568996,-39114.0,0.01038,0.0,0.00945,close_trailing_long
75,30821,RSRUSDT,0.0,-0.9891037548000001,2471.7654652412,184273.0,0.026838,184273.0,0.026838,entry_initial_normal_long
76,30833,RSRUSDT,23.107020999999992,-0.0965630246,2494.7759232166004,-17129.0,0.028187,167144.0,0.026838,close_trailing_long
77,30852,RSRUSDT,27.921107999999972,-0.09798208800000001,2522.5990491286,-17214.0,0.02846,149930.0,0.026838,close_trailing_long
78,30891,RSRUSDT,48.19721400000001,-0.10306788840000002,2570.6931952402,-17406.0,0.029607,132524.0,0.026838,close_trailing_long
79,30896,RSRUSDT,63.80358599999999,-0.10797120600000001,2634.3888100342,-17738.0,0.030435,114786.0,0.026838,close_trailing_long
80,30899,RSRUSDT,58.83894900000001,-0.109334655,2693.1184243792,-18177.0,0.030075,96609.0,0.026838,close_trailing_long
81,30901,RSRUSDT,52.478392,-0.1102417892,2745.48657459,-18583.0,0.029662,78026.0,0.026838,close_trailing_long
82,30907,RSRUSDT,50.637311999999966,-0.1118112768,2796.0120753132,-18944.0,0.029511,59082.0,0.026838,close_trailing_long
83,30912,RSRUSDT,36.521648999999975,-0.1108614366,2832.4228628766,-19293.0,0.028731,39789.0,0.026838,close_trailing_long
84,30917,RSRUSDT,44.69712800000001,-0.11384380000000001,2877.0061470766,-19544.0,0.029125,20245.0,0.026838,close_trailing_long
85,30930,RSRUSDT,45.319833,-0.1156161942,2922.2103638824,-19851.0,0.029121,394.0,0.026838,close_trailing_long
86,30962,RSRUSDT,1.1615119999999997,-0.0023471368,2923.3695287456003,-394.0,0.029786,0.0,0.026838,close_trailing_long
87,40536,ZENUSDT,0.0,-1.1695257000000001,2922.2000030456,328.5,17.801,328.5,17.801,entry_initial_normal_long
88,40549,ZENUSDT,25.82640000000004,-0.11410740000000001,2947.9122956456004,-30.6,18.645,297.9,17.801,close_trailing_long
89,40560,ZENUSDT,38.34430000000007,-0.11696700000000002,2986.1396286456006,-30.7,19.05,267.2,17.801,close_trailing_long
90,40566,ZENUSDT,41.829500000000074,-0.11908812,3027.850040525601,-31.1,19.146,236.1,17.801,close_trailing_long
91,40580,ZENUSDT,45.07650000000003,-0.12116160000000001,3072.805378925601,-31.5,19.232,204.6,17.801,close_trailing_long
92,40586,ZENUSDT,25.05600000000004,-0.1189376,3097.742441325601,-32.0,18.584,172.6,17.801,close_trailing_long
93,40593,ZENUSDT,31.524800000000084,-0.12129941999999999,3129.145941905601,-32.3,18.777,140.3,17.801,close_trailing_long
94,40642,ZENUSDT,85.77060000000002,-0.13321664000000003,3214.783325265601,-32.6,20.432,107.7,17.801,close_trailing_long
95,40652,ZENUSDT,87.16700000000002,-0.1367001,3301.813625165601,-33.5,20.403,74.2,17.801,close_trailing_long
96,40654,ZENUSDT,70.82960000000003,-0.1366368,3372.506588365601,-34.4,19.86,39.8,17.801,close_trailing_long
97,40661,ZENUSDT,81.64260000000002,-0.14129154000000002,3454.007896825601,-35.1,20.127,4.7,17.801,close_trailing_long
98,40667,ZENUSDT,9.738400000000013,-0.018680620000000002,3463.727616205601,-4.7,19.873,0.0,17.801,close_trailing_long
99,55530,CTKUSDT,0.0,-1.3855789600000001,3462.3420372456007,6179.0,1.1212,6179.0,1.1212,entry_initial_normal_long
100,55573,CTKUSDT,0.0,-0.278315184,3462.063722061601,1554.0,0.89548,7733.0,1.07584,entry_initial_partial_long
101,76701,CTKUSDT,130.61700000000033,-0.433436424,3592.247285637601,-1893.0,1.14484,5840.0,1.07584,close_trailing_long
102,76707,CTKUSDT,32.96175000000001,-0.139781342,3625.0692542956012,-619.0,1.12909,5221.0,1.07584,close_trailing_long
103,76720,CTKUSDT,28.691520000000082,-0.140003136,3653.620771159601,-624.0,1.12182,4597.0,1.07584,close_trailing_long
104,76762,CTKUSDT,31.877720000000036,-0.141716216,3685.356774943601,-629.0,1.12652,3968.0,1.07584,close_trailing_long
105,76867,CTKUSDT,31.159450000000106,-0.14286357000000002,3716.3733613736013,-635.0,1.12491,3333.0,1.07584,close_trailing_long
106,76885,CTKUSDT,26.8544,-0.1430784,3743.084682973601,-640.0,1.1178,2693.0,1.07584,close_trailing_long
107,77055,CTKUSDT,36.90044999999999,-0.14616345,3779.838969523601,-645.0,1.13305,2048.0,1.07584,close_trailing_long
108,77081,CTKUSDT,32.849460000000114,-0.14664426000000003,3812.541785263601,-651.0,1.1263,1397.0,1.07584,close_trailing_long
109,77224,CTKUSDT,46.34478000000003,-0.150634332,3858.735930931601,-657.0,1.14638,740.0,1.07584,close_trailing_long
110,77280,CTKUSDT,46.60984999999999,-0.15240868999999999,3905.193372241601,-665.0,1.14593,75.0,1.07584,close_trailing_long
111,77335,CTKUSDT,5.010000000000014,-0.0171396,3910.1862326416012,-75.0,1.14264,0.0,1.07584,close_trailing_long
112,77871,FLMUSDT,0.0,-1.5640497599999998,3908.622182881601,24654.0,0.3172,24654.0,0.3172,entry_initial_normal_long
113,77891,FLMUSDT,38.04720000000001,-0.15301392,3946.516368961601,-2292.0,0.3338,22362.0,0.3172,close_trailing_long
114,77898,FLMUSDT,78.1056000000001,-0.16178688000000002,4024.460182081601,-2304.0,0.3511,20058.0,0.3172,close_trailing_long
115,77913,FLMUSDT,76.61000000000004,-0.164406,4100.905776081601,-2350.0,0.3498,17708.0,0.3172,close_trailing_long
116,77927,FLMUSDT,83.5855000000001,-0.16865590000000003,4184.322620181601,-2395.0,0.3521,15313.0,0.3172,close_trailing_long
117,77970,FLMUSDT,81.84050000000008,-0.17135202000000002,4265.991768161602,-2443.0,0.3507,12870.0,0.3172,close_trailing_long
118,78002,FLMUSDT,87.68320000000003,-0.17556568,4353.4994024816015,-2491.0,0.3524,10379.0,0.3172,close_trailing_long
119,78011,FLMUSDT,80.32720000000005,-0.17732992,4433.649272561602,-2542.0,0.3488,7837.0,0.3172,close_trailing_long
120,78057,FLMUSDT,95.2752,-0.1833012,4528.741171361602,-2589.0,0.354,5248.0,0.3172,close_trailing_long
121,78073,FLMUSDT,84.87240000000004,-0.18470984000000001,4613.428861521602,-2644.0,0.3493,2604.0,0.3172,close_trailing_long
122,78098,FLMUSDT,84.3696000000001,-0.18207168,4697.616389841602,-2604.0,0.3496,0.0,0.3172,close_trailing_long
123,83065,DOGEUSDT,0.0,-1.8790469410000001,4695.737342900602,146455.0,0.064151,146455.0,0.064151,entry_initial_normal_long
124,83091,DOGEUSDT,80.32260000000004,-0.19073486280000002,4775.869208037802,-13614.0,0.070051,132841.0,0.064151,close_trailing_long
125,83096,DOGEUSDT,92.607279,-0.1954114232,4868.281075614603,-13787.0,0.070868,119054.0,0.064151,close_trailing_long
126,83116,DOGEUSDT,98.69421900000002,-0.2000416444,4966.775252970203,-14053.0,0.071174,105001.0,0.064151,close_trailing_long
127,83126,DOGEUSDT,98.40169399999992,-0.2036397464,5064.973307223803,-14338.0,0.071014,90663.0,0.064151,close_trailing_long
128,83136,DOGEUSDT,66.77410700000003,-0.2009451756,5131.546469048203,-14621.0,0.068718,76042.0,0.064151,close_trailing_long
129,83169,DOGEUSDT,82.5232230000001,-0.20655839720000005,5213.863133651003,-14813.0,0.069722,61229.0,0.064151,close_trailing_long
130,83180,DOGEUSDT,73.84020599999991,-0.20787538139999998,5287.495464269603,-15051.0,0.069057,46178.0,0.064151,close_trailing_long
131,83188,DOGEUSDT,67.09614799999996,-0.2092465722,5354.382365697403,-15263.0,0.068547,30915.0,0.064151,close_trailing_long
132,83215,DOGEUSDT,76.00206900000008,-0.21351681520000004,5430.170917882203,-15457.0,0.069068,15458.0,0.064151,close_trailing_long
133,83254,DOGEUSDT,146.38726000000008,-0.2276066836,5576.330571198603,-15458.0,0.073621,0.0,0.064151,close_trailing_long
134,84281,CTKUSDT,0.0,-2.23046138,5574.100109818603,6713.0,1.6613,6713.0,1.6613,entry_initial_normal_long
135,84290,CTKUSDT,149.36064000000002,-0.23720236800000002,5723.223547450603,-624.0,1.90066,6089.0,1.6613,close_trailing_long
136,84300,CTKUSDT,211.22904000000003,-0.254227688,5934.198359762603,-638.0,1.99238,5451.0,1.6613,close_trailing_long
137,84307,CTKUSDT,199.99682000000007,-0.259955484,6133.9352242786035,-662.0,1.96341,4789.0,1.6613,close_trailing_long
138,84310,CTKUSDT,164.44044,-0.26015392800000003,6298.1155103506035,-684.0,1.90171,4105.0,1.6613,close_trailing_long
139,84316,CTKUSDT,179.83443000000005,-0.269545666,6477.680394684604,-703.0,1.91711,3402.0,1.6613,close_trailing_long
140,84320,CTKUSDT,199.69983000000005,-0.280163946,6677.100060738604,-723.0,1.93751,2679.0,1.6613,close_trailing_long
141,84327,CTKUSDT,212.28775000000002,-0.28999125,6889.097819488604,-745.0,1.94625,1934.0,1.6613,close_trailing_long
142,84330,CTKUSDT,204.97919999999993,-0.29617151999999997,7093.780847968604,-768.0,1.9282,1166.0,1.6613,close_trailing_long
143,84348,CTKUSDT,267.38963999999993,-0.316295588,7360.854192380603,-791.0,1.99934,375.0,1.6613,close_trailing_long
144,84351,CTKUSDT,129.97499999999994,-0.1505925,7490.6785998806035,-375.0,2.0079,0.0,1.6613,close_trailing_long
145,90861,AXSUSDT,0.0,-2.9963301120000003,7487.682269768604,8352.0,1.79378,8352.0,1.79378,entry_initial_normal_long
146,90939,AXSUSDT,65.86629,-0.29192667,7553.256633098604,-777.0,1.87855,7575.0,1.79378,close_trailing_long
147,91121,AXSUSDT,74.37300000000003,-0.29470428000000004,7627.334928818604,-780.0,1.88913,6795.0,1.79378,close_trailing_long
148,91188,AXSUSDT,198.38688,-0.322377104,7825.399431714603,-788.0,2.04554,6007.0,1.79378,close_trailing_long
149,91191,AXSUSDT,185.27440000000024,-0.32692972800000003,8010.346901986603,-808.0,2.02308,5199.0,1.79378,close_trailing_long
150,91199,AXSUSDT,178.8139399999999,-0.33245399999999997,8188.828387986603,-827.0,2.01,4372.0,1.79378,close_trailing_long
151,91204,AXSUSDT,198.7677,-0.34326111600000003,8387.252826870603,-846.0,2.02873,3526.0,1.79378,close_trailing_long
152,91208,AXSUSDT,191.61982000000006,-0.34900666,8578.523640210602,-866.0,2.01505,2660.0,1.79378,close_trailing_long
153,91251,AXSUSDT,311.23408,-0.380104632,8889.377615578602,-886.0,2.14506,1774.0,1.79378,close_trailing_long
154,91258,AXSUSDT,312.7350600000002,-0.39188502000000003,9201.720790558602,-918.0,2.13445,856.0,1.79378,close_trailing_long
155,91266,AXSUSDT,266.31016000000017,-0.36035716800000006,9467.670593390601,-856.0,2.10489,0.0,1.79378,close_trailing_long
156,101655,CTKUSDT,0.0,-3.78711377,9463.883479620601,12239.0,1.54715,12239.0,1.54715,entry_initial_normal_long
157,101681,CTKUSDT,192.3788999999999,-0.39060712000000003,9655.8717725006,-1138.0,1.7162,11101.0,1.54715,close_trailing_long
158,101691,CTKUSDT,283.23155999999994,-0.41434739200000004,9938.688985108602,-1156.0,1.79216,9945.0,1.54715,close_trailing_long
159,101693,CTKUSDT,304.0211999999999,-0.42902594,10242.281159168602,-1190.0,1.80263,8755.0,1.54715,close_trailing_long
160,101697,CTKUSDT,295.14723999999995,-0.43839062800000006,10536.990008540603,-1226.0,1.78789,7529.0,1.54715,close_trailing_long
161,101701,CTKUSDT,354.25602000000003,-0.46135186400000006,10890.784676676603,-1262.0,1.82786,6267.0,1.54715,close_trailing_long
162,101709,CTKUSDT,243.3394399999999,-0.45216460799999997,11133.671952068604,-1304.0,1.73376,4963.0,1.54715,close_trailing_long
163,101712,CTKUSDT,314.28141000000005,-0.47532647200000006,11447.478035596603,-1333.0,1.78292,3630.0,1.54715,close_trailing_long
164,101716,CTKUSDT,260.33918999999986,-0.476296368,11707.340929228603,-1371.0,1.73704,2259.0,1.54715,close_trailing_long
165,101722,CTKUSDT,257.42122000000006,-0.48530510400000004,11964.276844124603,-1402.0,1.73076,857.0,1.54715,close_trailing_long
166,101727,CTKUSDT,165.51241000000002,-0.298283992,12129.490970132603,-857.0,1.74028,0.0,1.54715,close_trailing_long
167,102769,SXPUSDT,0.0,-4.851804256,12124.639165876602,11840.6,2.0488,11840.6,2.0488,entry_initial_normal_long
168,102852,SXPUSDT,87.94592999999985,-0.468612018,12212.116483858603,-1100.7,2.1287,10739.9,2.0488,close_trailing_long
169,103015,SXPUSDT,88.19361999999984,-0.46993181199999995,12299.840172046603,-1103.8,2.1287,9636.1,2.0488,close_trailing_long
170,103019,SXPUSDT,111.18000000000009,-0.477807168,12410.542364878604,-1111.8,2.1488,8524.3,2.0488,close_trailing_long
171,103025,SXPUSDT,150.6577400000001,-0.48980031600000007,12560.710304562605,-1121.8,2.1831,7402.5,2.0488,close_trailing_long
172,103044,SXPUSDT,214.45816999999982,-0.508092162,12774.660382400605,-1135.3,2.2377,6267.2,2.0488,close_trailing_long
173,103047,SXPUSDT,151.9585200000002,-0.503541576,12926.115360824606,-1154.7,2.1804,5112.5,2.0488,close_trailing_long
174,103051,SXPUSDT,178.53152000000006,-0.5144698880000002,13104.132410936605,-1168.4,2.2016,3944.1,2.0488,close_trailing_long
175,103058,SXPUSDT,214.98675000000026,-0.5283580700000001,13318.590802866605,-1184.5,2.2303,2759.6,2.0488,close_trailing_long
176,103061,SXPUSDT,162.15186000000006,-0.52569946,13480.216963406605,-1203.8,2.1835,1555.8,2.0488,close_trailing_long
177,103104,SXPUSDT,236.12591999999998,-0.546476768,13715.796406638605,-1218.4,2.2426,337.4,2.0488,close_trailing_long
178,103111,SXPUSDT,65.99544000000007,-0.15145211200000003,13781.640394526605,-337.4,2.2444,0.0,2.0488,close_trailing_long
179,106262,FTMUSDT,0.0,-5.512597440000001,13776.127797086605,44342.0,0.6216,44342.0,0.6216,entry_initial_normal_long
180,106277,FTMUSDT,167.6499839999997,-0.5459770368,13943.231804049805,-4122.0,0.662272,40220.0,0.6216,close_trailing_long
181,106286,FTMUSDT,222.0603779999999,-0.5608373556,14164.731344694204,-4154.0,0.675057,36066.0,0.6216,close_trailing_long
182,106295,FTMUSDT,257.2089999999998,-0.5760722,14421.364272494204,-4220.0,0.68255,31846.0,0.6216,close_trailing_long
183,106308,FTMUSDT,308.58475799999974,-0.5959199916,14729.353110502603,-4297.0,0.693414,27549.0,0.6216,close_trailing_long
184,106316,FTMUSDT,332.16721199999984,-0.6119496024000001,15060.908372900203,-4388.0,0.697299,23161.0,0.6216,close_trailing_long
185,106321,FTMUSDT,285.81741299999976,-0.6149873226,15346.110798577603,-4487.0,0.685299,18674.0,0.6216,close_trailing_long
186,106327,FTMUSDT,228.24795599999973,-0.6140406312000001,15573.744713946404,-4572.0,0.671523,14102.0,0.6216,close_trailing_long
